ID,rodada,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,estadio,mandante_placar,visitante_placar,mandante_estado,visitante_estado,ano,mes,dia_semana,resultado,total_gols
5726,36,2016-11-21,20:00,Corinthians,Internacional,4-1-4-1,4-2-3-1,O. de Oliveira Filho,L. Cirne Lima de Lorenzi,Corinthians,Neo Química Arena,1,0,SP,RS,2016,11,Monday,Vitória mandante,1
5728,37,2016-11-26,20:00,Botafogo-RJ,Ponte Preta,4-3-1-2,4-1-4-1,J. Ribeiro Ventura,E. Baptista,-,Luso-Brasileiro,1,1,RJ,SP,2016,11,Saturday,Empate,2
5727,37,2016-11-26,20:01,America-MG,Sport,4-1-4-1,4-2-3-1,E. Alves Moreira,D. Pollo Barioni,-,Estádio Raimundo Sampaio,2,2,MG,PE,2016,11,Saturday,Empate,4
5729,37,2016-11-26,20:59,Corinthians,Athletico-PR,4-1-4-1,4-2-3-1,O. de Oliveira Filho,P. Autuori de Mello,-,Neo Química Arena,0,0,SP,PR,2016,11,Saturday,Empate,0
5733,37,2016-11-27,16:57,Internacional,Cruzeiro,4-2-3-1,4-4-2,L. Cirne Lima de Lorenzi,L. Venker de Menezes,Internacional,Estádio José Pinheiro Borda,1,0,RS,MG,2016,11,Sunday,Vitória mandante,1
5730,37,2016-11-27,17:00,Atlético-MG,Sao Paulo,4-2-3-1,4-2-3-1,D. Giacomini,L. de Oliveira Preto,Sao Paulo,Estádio Raimundo Sampaio,1,2,MG,SP,2016,11,Sunday,Vitória visitante,3
5732,37,2016-11-27,17:00,Flamengo,Santos,4-2-3-1,4-2-3-1,J. Mannarino,D. Silvestre Júnior,Flamengo,Maracanã,2,0,RJ,SP,2016,11,Sunday,Vitória mandante,2
5731,37,2016-11-27,17:03,Palmeiras,Chapecoense,4-3-3,4-1-4-1,A. Stival,L. Saroli Caio Júnior,Palmeiras,Allianz Parque,1,0,SP,SC,2016,11,Sunday,Vitória mandante,1
5735,37,2016-11-27,19:29,Santa Cruz,Gremio,4-3-3,4-2-3-1,A. Felix Teixeira,J. Freitas,Santa Cruz,Estádio do Arruda,5,1,PE,RS,2016,11,Sunday,Vitória mandante,6
5734,37,2016-11-27,19:30,Figueirense,Fluminense,3-4-2-1,4-2-3-1,M. dos Santos Gonçalves,M. de Oliveira,Figueirense,Orlando Scarpelli,1,0,SC,RJ,2016,11,Sunday,Vitória mandante,1
5736,37,2016-11-28,20:01,Coritiba,Vitoria,4-4-2,4-2-3-1,P. Carpegiani,A. Fucks,Vitoria,Couto Pereira,0,1,PR,BA,2016,11,Monday,Vitória visitante,1
5741,38,2016-12-11,17:01,Cruzeiro,Corinthians,4-2-3-1,4-1-4-1,L. Venker de Menezes,O. de Oliveira Filho,Cruzeiro,Mineirão,3,2,MG,SP,2016,12,Sunday,Vitória mandante,5
5738,38,2016-12-11,17:02,Fluminense,Internacional,4-4-1-1,4-2-3-1,M. de Oliveira,L. Cirne Lima de Lorenzi,-,Estádio Giulite Coutinho,1,1,RJ,RS,2016,12,Sunday,Empate,2
5739,38,2016-12-11,17:03,Gremio,Botafogo-RJ,4-2-3-1,4-2-3-1,Renato Gaúcho,J. Ribeiro Ventura,Botafogo-RJ,Arena do Grêmio,0,1,RS,RJ,2016,12,Sunday,Vitória visitante,1
5740,38,2016-12-11,17:04,Sao Paulo,Santa Cruz,4-2-3-1,4-2-3-1,L. de Oliveira Preto,A. Felix Teixeira,Sao Paulo,Estádio Municipal Paulo Machado de Carvalho,5,0,SP,PE,2016,12,Sunday,Vitória mandante,5
5743,38,2016-12-11,17:05,Athletico-PR,Flamengo,4-2-3-1,4-2-3-1,P. Autuori de Mello,J. Mannarino,-,Estádio Joaquim Américo Guimarães,0,0,PR,RJ,2016,12,Sunday,Empate,0
5744,38,2016-12-11,17:05,Vitoria,Palmeiras,4-2-3-1,4-3-3,A. Fucks,A. Stival,Palmeiras,Barradão,1,2,BA,SP,2016,12,Sunday,Vitória visitante,3
5745,38,2016-12-11,17:05,Ponte Preta,Coritiba,4-1-4-1,4-4-2,F. Moreira,P. Carpegiani,Ponte Preta,Moisés Lucarelli,2,0,SP,PR,2016,12,Sunday,Vitória mandante,2
5737,38,2016-12-11,17:06,Santos,America-MG,4-2-3-1,4-1-4-1,D. Silvestre Júnior,E. Alves Moreira,Santos,Estádio Urbano Caldeira,1,0,SP,MG,2016,12,Sunday,Vitória mandante,1
5742,38,2016-12-11,17:07,Sport,Figueirense,4-2-3-1,3-5-1-1,D. Pollo Barioni,M. dos Santos Gonçalves,Sport,Adelmar da Costa Carvalho,2,0,PE,SC,2016,12,Sunday,Vitória mandante,2
5746,1,2017-05-13,16:01,Flamengo,Atlético-MG,4-2-3-1,4-3-2-1,J. Mannarino,R. Machado Marques,-,Maracanã,1,1,RJ,MG,2017,5,Saturday,Empate,2
5747,1,2017-05-13,19:02,Corinthians,Chapecoense,4-1-4-1,4-2-3-1,F. Carille,V. Carmo Mancini,-,Neo Química Arena,1,1,SP,SC,2017,5,Saturday,Empate,2
5748,1,2017-05-14,11:00,Fluminense,Santos,4-2-3-1,4-2-3-1,A. da Silva Braga,D. Silvestre Júnior,Fluminense,Maracanã,3,2,RJ,SP,2017,5,Sunday,Vitória mandante,5
5749,1,2017-05-14,16:01,Cruzeiro,Sao Paulo,4-2-3-1,3-4-3,L. Venker de Menezes,R. Ceni,Cruzeiro,Mineirão,1,0,MG,SP,2017,5,Sunday,Vitória mandante,1
5751,1,2017-05-14,16:01,Ponte Preta,Sport,4-2-3-1,4-2-3-1,G. Kleina,N. da Silveira Júnior,Ponte Preta,Moisés Lucarelli,4,0,SP,PE,2017,5,Sunday,Vitória mandante,4
5752,1,2017-05-14,16:01,Avai,Vitoria,4-2-3-1,4-2-3-1,C. dos Santos Oliveira,D. Petkovic,-,Ressacada,0,0,SC,BA,2017,5,Sunday,Empate,0
5750,1,2017-05-14,16:04,Bahia,Athletico-PR,4-2-3-1,3-4-1-2,A. Ferreira,P. Autuori de Mello,Bahia,Itaipava Arena Fonte Nova,6,2,BA,PR,2017,5,Sunday,Vitória mandante,8
5753,1,2017-05-14,16:06,Palmeiras,Vasco,4-3-3,4-2-3-1,A. Stival,M. Mendes,Palmeiras,Allianz Parque,4,0,SP,RJ,2017,5,Sunday,Vitória mandante,4
5754,1,2017-05-14,19:01,Gremio,Botafogo-RJ,4-2-3-1,4-3-2-1,Renato Gaúcho,J. Ribeiro Ventura,Gremio,Arena do Grêmio,2,0,RS,RJ,2017,5,Sunday,Vitória mandante,2
5755,1,2017-05-15,20:02,Coritiba,Atletico-GO,4-3-3,4-1-4-1,E. Pacheco,M. Ribeiro Cabo,Coritiba,Couto Pereira,4,1,PR,GO,2017,5,Monday,Vitória mandante,5
5756,2,2017-05-20,16:01,Santos,Coritiba,4-2-3-1,4-3-3,D. Silvestre Júnior,E. Pacheco,Santos,Estádio Urbano Caldeira,1,0,SP,PR,2017,5,Saturday,Vitória mandante,1
5757,2,2017-05-20,18:59,Atletico-GO,Flamengo,4-5-1,4-2-3-1,M. Ribeiro Cabo,J. Mannarino,Flamengo,Estádio do Governo do Estado de Goiás (Serra Dourada),0,3,GO,RJ,2017,5,Saturday,Vitória visitante,3
5758,2,2017-05-20,19:01,Chapecoense,Palmeiras,4-1-4-1,4-3-3,V. Carmo Mancini,A. Stival,Chapecoense,Arena Condá,1,0,SC,SP,2017,5,Saturday,Vitória mandante,1
5759,2,2017-05-21,11:00,Vasco,Bahia,4-2-3-1,4-2-3-1,M. Mendes,A. Ferreira,Vasco,Estádio Vasco da Gama,2,1,RJ,BA,2017,5,Sunday,Vitória mandante,3
5761,2,2017-05-21,16:00,Vitoria,Corinthians,4-2-3-1,4-1-4-1,D. Petkovic,F. Carille,Corinthians,Itaipava Arena Fonte Nova,0,1,BA,SP,2017,5,Sunday,Vitória visitante,1
5760,2,2017-05-21,16:01,Athletico-PR,Gremio,4-2-3-1,4-2-3-1,P. Autuori de Mello,Renato Gaúcho,Gremio,Estádio Joaquim Américo Guimarães,0,2,PR,RS,2017,5,Sunday,Vitória visitante,2
5762,2,2017-05-21,16:01,Atlético-MG,Fluminense,4-2-3-1,4-2-3-1,R. Machado Marques,A. da Silva Braga,Fluminense,Estádio Raimundo Sampaio,1,2,MG,RJ,2017,5,Sunday,Vitória visitante,3
5763,2,2017-05-21,17:59,Botafogo-RJ,Ponte Preta,4-4-1-1,4-4-2,J. Ribeiro Ventura,G. Kleina,Botafogo-RJ,Estádio Nilton Santos,2,0,RJ,SP,2017,5,Sunday,Vitória mandante,2
5764,2,2017-05-21,19:02,Sport,Cruzeiro,4-3-3,4-2-3-1,N. da Silveira Júnior,L. Venker de Menezes,-,Adelmar da Costa Carvalho,1,1,PE,MG,2017,5,Sunday,Empate,2
